Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname
288150,Kiri Industries Ltd - <b>INE415I01015</b>,532967,KIRIINDUS,/Stocks?StockId=288150&Exchange=0,,bse,Kiri Industries
331572,Kirloskar Ferrous Industries Ltd - <b>INE884B01025</b>,500245,KIRLFER,/Stocks?StockId=331572&Exchange=0,,bse,Kirl. Ferrous
941607,Kirloskar Brothers Ltd - <b>INE732A01036</b>,500241,KIRLOSBROS,/Stocks?StockId=941607&Exchange=0,,bse,Kirl. Brothers
721289,Kirloskar Oil Engines Ltd - <b>INE146L01010</b>,533293,KIRLOSENG,/Stocks?StockId=721289&Exchange=0,,bse,Kirloskar Oil
810620,Kirloskar Industries Ltd - <b>INE250A01039</b>,500243,KIRLOSIND,/Stocks?StockId=810620&Exchange=0,,bse,Kirloskar Indus.
546852,Kitex Garments Ltd - <b>INE602G01020</b>,521248,KITEX,/Stocks?StockId=546852&Exchange=0,,bse,Kitex Garments
926143,Kewal Kiran Clothing Ltd - <b>INE401H01017</b>,532732,KKCL,/Stocks?StockId=926143&Exchange=0,,bse,Kewal Kir.Cloth.
727837,KM Sugar Mills Ltd. - <b>INE157H01023</b>,532673,KMSUGAR,/Stocks?StockId=727837&Exchange=0,,bse,KM Sugar Mills
517351,KNR Constructions Ltd - <b>INE634I01029</b>,532942,KNRCON,/Stocks?StockId=517351&Exchange=0,,bse,KNR Construct.
910554,Kokuyo Camlin Ltd. - <b>INE760A01029</b>,523207,KOKUYOCMLN,/Stocks?StockId=910554&Exchange=0,,bse,Kokuyo Camlin
272282,Kolte Patil Developers Ltd - <b>INE094I01018</b>,532924,KOLTEPATIL,/Stocks?StockId=272282&Exchange=0,,bse,Kolte Patil Dev.
568367,Kopran Ltd. - <b>INE082A01010</b>,524280,KOPRAN,/Stocks?StockId=568367&Exchange=0,,bse,Kopran
621403,Kotak Mahindra Bank Ltd - <b>INE237A01028</b>,500247,KOTAKBANK,/Stocks?StockId=621403&Exchange=0,,bse,Kotak Mah. Bank
581449,Kothari Sugars & Chemicals Ltd - <b>INE419A01022</b>,507190,KOTARISUG,/Stocks?StockId=581449&Exchange=1,,nse,Kothari Sugars
