code,message,data
200,Success,"{'alert': 'delisted', 'stock_name': 'Suchak Trading Ltd', 'stock_url_name': '/stocks-analysis/suchak-trading', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/suchak-trading-164685-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Rajasthan Petro Synthetics Ltd', 'stock_url_name': '/stocks-analysis/rajasthan-petro-synthetics', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/rajasthan-petro-synthetics-164337-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'MPF Systems Ltd', 'stock_url_name': '/stocks-analysis/mpf-systems', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/mpf-systems-328418-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Sand Plast (India) Ltd', 'stock_url_name': '/stocks-analysis/sand-plast-india', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/sand-plast-india-885583-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Layla Textile and Traders Ltd', 'stock_url_name': '/stocks-analysis/layla-textile-and-traders', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/layla-textile-and-traders-984078-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Charms Industries Ltd', 'stock_url_name': '/stocks-analysis/charms-industries', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/charms-industries-263241-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Uniworth Ltd', 'stock_url_name': '/stocks-analysis/uniworth', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/uniworth-361535-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Euro Ceramics Ltd', 'stock_url_name': '/stocks-analysis/euro-ceramics', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/euro-ceramics-197713-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Stelco Strips Ltd', 'stock_url_name': '/stocks-analysis/stelco-strips', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/stelco-strips-427036-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Aagam Capital Ltd', 'stock_url_name': '/stocks-analysis/aagam-capital', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/aagam-capital-525470-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Sunil Hitech Engineers Ltd', 'stock_url_name': '/stocks-analysis/sunil-hitech-engineers', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/sunil-hitech-engineers-984230-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'TMT (I) Ltd', 'stock_url_name': '/stocks-analysis/tmt-i', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/tmt-i-132320-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Beta-Kappa Investments Ltd', 'stock_url_name': '/stocks-analysis/beta-kappa-investments', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/beta-kappa-investments-853081-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Goldcrest Corporation Ltd', 'stock_url_name': '/stocks-analysis/goldcrest-corporation', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/goldcrest-corporation-656543-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Kailash Auto Finance Ltd', 'stock_url_name': '/stocks-analysis/kailash-auto-finance', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/kailash-auto-finance-460094-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'SVOGL Oil Gas & Energy Ltd', 'stock_url_name': '/stocks-analysis/svogl-oil-gas-energy', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/svogl-oil-gas-energy-754872-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Chokhani International Ltd', 'stock_url_name': '/stocks-analysis/chokhani-international', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/chokhani-international-558271-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Lakhani India Ltd', 'stock_url_name': '/stocks-analysis/lakhani-india', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/lakhani-india-655736-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Viaan Industries Ltd', 'stock_url_name': '/stocks-analysis/viaan-industries', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/viaan-industries-427399-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Blazon Marbles Ltd', 'stock_url_name': '/stocks-analysis/blazon-marbles', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/blazon-marbles-951588-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Sterling Biotech Ltd', 'stock_url_name': '/stocks-analysis/sterling-biotech', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/sterling-biotech-100009-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Aroma Enterprises (India) Ltd', 'stock_url_name': '/stocks-analysis/aroma-enterprises-india', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/aroma-enterprises-india-492885-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Zyden Gentec Ltd', 'stock_url_name': '/stocks-analysis/zyden-gentec', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/zyden-gentec-558776-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Mideast Integrated Steels Ltd', 'stock_url_name': '/stocks-analysis/mideast-integrated-steels', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/mideast-integrated-steels-100035-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Sowbhagya Media Ltd', 'stock_url_name': '/stocks-analysis/sowbhagya-media', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/sowbhagya-media-427656-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Sri Vajra Granites Ltd', 'stock_url_name': '/stocks-analysis/sri-vajra-granites', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/sri-vajra-granites-722484-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'merged', 'stock_name': 'Gateway Distriparks Ltd', 'stock_url_name': '/stocks-analysis/gateway-distriparks', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/gateway-distriparks-100243-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'RKB Agro Industries Ltd', 'stock_url_name': '/stocks-analysis/rkb-agro-industries', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/rkb-agro-industries-558684-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'United Textiles Ltd', 'stock_url_name': '/stocks-analysis/united-textiles', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/united-textiles-755468-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Govind Poy Oxygen Ltd', 'stock_url_name': '/stocks-analysis/govind-poy-oxygen', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/govind-poy-oxygen-984346-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Seasons Furnishings Ltd', 'stock_url_name': '/stocks-analysis/seasons-furnishings', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/seasons-furnishings-984835-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Linear Industries Ltd', 'stock_url_name': '/stocks-analysis/linear-industries', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/linear-industries-820939-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Paramount Printpackaging Ltd', 'stock_url_name': '/stocks-analysis/paramount-printpackaging', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/paramount-printpackaging-394980-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Jagson Airlines Ltd', 'stock_url_name': '/stocks-analysis/jagson-airlines', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/jagson-airlines-755535-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Runeecha Textiles Ltd', 'stock_url_name': '/stocks-analysis/runeecha-textiles', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/runeecha-textiles-198390-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Zinema Media & Entertainment Ltd', 'stock_url_name': '/stocks-analysis/zinema-media-entertainment', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/zinema-media-entertainment-493524-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Jalpac India Ltd', 'stock_url_name': '/stocks-analysis/jalpac-india', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/jalpac-india-395001-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Nuway Organic Naturals India Ltd', 'stock_url_name': '/stocks-analysis/nuway-organic-naturals-india', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/nuway-organic-naturals-india-231434-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Fomento Resorts & Hotels Ltd', 'stock_url_name': '/stocks-analysis/fomento-resorts-hotels', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/fomento-resorts-hotels-624633-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Link House Industries Ltd', 'stock_url_name': '/stocks-analysis/link-house-industries', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/link-house-industries-722902-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
