Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname,tag,stockprice,chg,chgp,chgdir,score,scoretext,stock_traded_status,show_score,recurl
320222,Universal Starch Chem Allied Ltd - <b>524408</b>,524408,,https://www.marketsmojo.com/stocks-analysis/universal-starch-chem-allied-320222-0,,bse,Universal Starch,Stock,165.80,4.00,2.47,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
320222,Universal Starch Chem Allied Ltd - <b>524408</b>,524408,,https://www.marketsmojo.com/news/universal-starch-chem-allied-ltd-320222,,bse,Universal Starch,News,165.80,4.00,2.47,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
386748,Biofil Chemicals & Pharmaceuticals Ltd - <b>524396</b>,524396,BIOFILCHEM,https://www.marketsmojo.com/stocks-analysis/biofil-chemicals-pharmaceuticals-386748-0,,bse,Biofil Chemicals,Stock,53.54,-1.29,-2.35,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
386748,Biofil Chemicals & Pharmaceuticals Ltd - <b>524396</b>,524396,BIOFILCHEM,https://www.marketsmojo.com/news/biofil-chemicals-pharmaceuticals-ltd-386748,,bse,Biofil Chemicals,News,53.54,-1.29,-2.35,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
604869,Marksans Pharma Ltd - <b>524404</b>,524404,MARKSANS,https://www.marketsmojo.com/stocks-analysis/marksans-pharma-604869-0,,bse,Marksans Pharma,Stock,252.95,-5.25,-2.03,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
604869,Marksans Pharma Ltd - <b>524404</b>,524404,MARKSANS,https://www.marketsmojo.com/news/marksans-pharma-ltd-604869,,bse,Marksans Pharma,News,252.95,-5.25,-2.03,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
933527,Aarey Drugs & Pharmaceuticals Ltd - <b>524412</b>,524412,AAREYDRUGS,https://www.marketsmojo.com/stocks-analysis/aarey-drugs-pharmaceuticals-933527-0,,bse,Aarey Drugs,Stock,55.35,2.61,4.95,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
933527,Aarey Drugs & Pharmaceuticals Ltd - <b>524412</b>,524412,AAREYDRUGS,https://www.marketsmojo.com/news/aarey-drugs-pharmaceuticals-ltd-933527,,bse,Aarey Drugs,News,55.35,2.61,4.95,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
413896,Asian Petroproducts & Exports Ltd - <b>524434</b>,524434,,https://www.marketsmojo.com/stocks-analysis/asian-petroproducts-exports-413896-0,,bse,Asian Petroprod.,Stock,9.30,0.54,6.16,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
413896,Asian Petroproducts & Exports Ltd - <b>524434</b>,524434,,https://www.marketsmojo.com/news/asian-petroproducts-exports-ltd-413896,,bse,Asian Petroprod.,News,9.30,0.54,6.16,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
210607,Norris Medicines Ltd - <b>524414</b>,524414,,https://www.marketsmojo.com/stocks-analysis/norris-medicines-210607-0,,bse,Norris Medicines,Stock,19.90,0.47,2.42,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
210607,Norris Medicines Ltd - <b>524414</b>,524414,,https://www.marketsmojo.com/news/norris-medicines-ltd-210607,,bse,Norris Medicines,News,19.90,0.47,2.42,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
467012,Camex Ltd - <b>524440</b>,524440,,https://www.marketsmojo.com/stocks-analysis/camex-467012-0,,bse,Camex,Stock,44.27,1.85,4.36,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
467012,Camex Ltd - <b>524440</b>,524440,,https://www.marketsmojo.com/news/camex-ltd-467012,,bse,Camex,News,44.27,1.85,4.36,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
472935,Evexia Lifecare Ltd - <b>524444</b>,524444,,https://www.marketsmojo.com/stocks-analysis/evexia-lifecare-472935-0,,bse,Evexia Lifecare,Stock,2.49,0.00,0.00,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
472935,Evexia Lifecare Ltd - <b>524444</b>,524444,,https://www.marketsmojo.com/news/evexia-lifecare-ltd-472935,,bse,Evexia Lifecare,News,2.49,0.00,0.00,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
647090,Sabero Organics Gujarat Ltd(Merged) - <b>524446</b>,524446,SABERORGAN,https://www.marketsmojo.com/stocks-analysis/sabero-organics-gujarat-ltdmerged-647090-0,,bse,Sabero Organics,Stock,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
647090,Sabero Organics Gujarat Ltd(Merged) - <b>524446</b>,524446,SABERORGAN,https://www.marketsmojo.com/news/sabero-organics-gujarat-ltd-merged--647090,,bse,Sabero Organics,News,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
124359,Karur Vysya Bank Ltd. - <b>590003</b>,590003,KARURVYSYA,https://www.marketsmojo.com/stocks-analysis/karur-vysya-bank-124359-0,,bse,Karur Vysya Bank,Stock,237.35,5.50,2.37,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
124359,Karur Vysya Bank Ltd. - <b>590003</b>,590003,KARURVYSYA,https://www.marketsmojo.com/news/karur-vysya-bank-ltd-124359,,bse,Karur Vysya Bank,News,237.35,5.50,2.37,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
831770,Syncom Formulations (India) Ltd - <b>524470</b>,524470,SYNCOMF,https://www.marketsmojo.com/stocks-analysis/syncom-formulations-india-831770-0,,bse,Syncom Formul.,Stock,20.85,-0.33,-1.56,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
831770,Syncom Formulations (India) Ltd - <b>524470</b>,524470,SYNCOMF,https://www.marketsmojo.com/news/syncom-formulations-india-ltd-831770,,bse,Syncom Formul.,News,20.85,-0.33,-1.56,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
884135,Indo Euro Indchem Ltd - <b>524458</b>,524458,,https://www.marketsmojo.com/stocks-analysis/indo-euro-indchem-884135-0,,bse,Indo Euro Indch.,Stock,14.28,0.70,5.15,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
884135,Indo Euro Indchem Ltd - <b>524458</b>,524458,,https://www.marketsmojo.com/news/indo-euro-indchem-ltd-884135,,bse,Indo Euro Indch.,News,14.28,0.70,5.15,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
494256,Veedol Corporation Ltd - <b>590005</b>,590005,VEEDOL,https://www.marketsmojo.com/stocks-analysis/veedol-corporation-494256-0,,bse,Veedol Corporat,Stock,1645.75,-2.35,-0.14,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
494256,Veedol Corporation Ltd - <b>590005</b>,590005,VEEDOL,https://www.marketsmojo.com/news/veedol-corporation-ltd-494256,,bse,Veedol Corporat,News,1645.75,-2.35,-0.14,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
124361,Ahlcon Parenterals (India) Ltd (Delisted) - <b>524448</b>,524448,,https://www.marketsmojo.com/stocks-analysis/ahlcon-parenterals-india-124361-0,,bse,Ahlcon Parent(I),Stock,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
124361,Ahlcon Parenterals (India) Ltd (Delisted) - <b>524448</b>,524448,,https://www.marketsmojo.com/news/ahlcon-parenterals-india-ltd-124361,,bse,Ahlcon Parent(I),News,,,,,,,Not Traded,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
